Year,Attribute,Value
2018,Number of closed autocracies,21
2018,Number of electoral autocracies,64
2018,Number of electoral democracies,56
2018,Number of liberal democracies,38
2019,Number of closed autocracies,22
2019,Number of electoral autocracies,64
2019,Number of electoral democracies,55
2019,Number of liberal democracies,38
2020,Number of closed autocracies,24
2020,Number of electoral autocracies,62
2020,Number of electoral democracies,58
2020,Number of liberal democracies,35
2021,Number of closed autocracies,30
2021,Number of electoral autocracies,57
2021,Number of electoral democracies,58
2021,Number of liberal democracies,34
2022,Number of closed autocracies,33
2022,Number of electoral autocracies,56
2022,Number of electoral democracies,56
2022,Number of liberal democracies,34
2023,Number of closed autocracies,34
2023,Number of electoral autocracies,55
2023,Number of electoral democracies,59
2023,Number of liberal democracies,31
2024,Number of closed autocracies,31
2024,Number of electoral autocracies,60
2024,Number of electoral democracies,59
2024,Number of liberal democracies,29
